year,problem,paper,pages,median_text_lines_per_page,median_paragraph_candidates_per_page,median_han_per_page,heading_candidates,caption_candidates,equation_line_candidates,caption_pages,equation_pages,fallback_pages,unconfirmed_pages,models_in_chain,section_sequence,detected_section_count,摘要_page,问题重述_page,问题分析_page,模型假设_page,符号说明_page,模型建立_page,模型求解_page,结果分析_page,模型检验_page,灵敏度分析_page,模型评价_page,改进方案_page,参考文献_page,附录_page
2021,C,C085,56,40.0,3.5,103.5,88,15,603,3、5、7、8、15、16、17、19、20、22,6、7、9、10、11、12、13、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56,51,50,0-1、整数规划、TOPSIS、ODE、RNN,摘要 -> 问题重述 -> 问题分析 -> 模型求解 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 灵敏度分析 -> 参考文献 -> 附录,12,1,2,2,3,4,4,3,7,,22,22,,23,28
2021,C,C169,51,38,5,263,148,10,654,4、6、8、11、12、13、21、29,1、5、6、7、9、10、11、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51,44,31,0-1、多目标、整数规划、粒子群、线性规划、遗传算法、MOPSO、VAR,摘要 -> 模型求解 -> 结果分析 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 附录,8,1,2,2,,4,4,1,1,,,,,,27
2021,C,C283,58,41.5,3.0,117.5,91,8,488,6、9、10、12、19、20、22、34,2、6、7、8、9、10、12、13、14、15、16、17、18、20、22、23、24、25、26、27、28、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,53,51,多目标、层次分析、VAR,摘要 -> 模型求解 -> 问题重述 -> 符号说明 -> 问题分析 -> 参考文献 -> 附录 -> 模型建立 -> 结果分析 -> 灵敏度分析 -> 模型评价,11,1,2,4,,4,12,1,18,,18,26,,4,9
2022,A,A001,37,30,6,161,61,9,392,5、6、9、10、13、15、18、20,4、5、6、7、8、10、11、12、13、14、15、16、17、18、19、20、21、24、25、26、27、28、29、30、31、32、33、34、35、36,29,28,微分方程、龙格库塔、遗传算法、ODE、NSGA,摘要 -> 模型检验 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 改进方案 -> 参考文献 -> 附录,12,1,2,2,3,4,5,1,8,1,,,22,23,24
2022,A,A022,30,33.0,5.5,198.0,289,11,282,7、9、11、13、14、15、16、17、18,5、6、8、9、10、11、12、13、14、16、21、22、23、24、25、26、27、28、29、30,24,24,ODE、微分方程、0-1,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型检验 -> 模型评价 -> 改进方案 -> 参考文献 -> 附录,13,1,2,3,4,4,5,6,12,16,,19,19,20,21
2022,A,A171,57,32,1,24,112,10,736,6、7、9、11、12、14、17、20、21,4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、24、25、26、27、28、29、30、31、32、33、34、35、36、37、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57,51,51,微分方程、龙格库塔、0-1、VAR、ODE,摘要 -> 问题重述 -> 问题分析 -> 模型检验 -> 模型求解 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型评价 -> 改进方案 -> 参考文献,11,1,2,2,4,4,5,3,,3,,22,22,22,
2022,B,B030,42,30.0,6.5,165.0,54,15,323,2、3、6、12、13、14、16、17、19、21,4、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、24、25、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42,32,31,遗传算法、ODE,摘要 -> 模型假设 -> 模型求解 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 参考文献,10,1,2,3,1,4,5,1,11,,,25,,26,
2022,B,B035,41,30,5,271,35,17,222,5、6、7、8、11、13、14、15、16、17、18、20、21、22,4、5、6、8、9、10、11、12、13、14、16、17、18、19、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41,34,19,ODE,摘要 -> 模型检验 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 附录 -> 模型评价 -> 参考文献,10,1,2,3,4,5,5,,,1,,22,,23,20
2022,B,B086,32,35.5,9.0,312.0,82,29,169,3、5、7、8、10、11、12、13、14、16、17、18、20、21、22、23、24、25,1、5、6、8、9、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、27、28、29、30、31、32,24,23,0-1,摘要 -> 模型检验 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,12,1,2,2,4,4,5,6,17,1,,25,,26,27
2022,C,C155,41,34,6,321,113,34,228,5、6、7、8、9、11、12、13、14、15、16、17、19、21、22、23、24、25、27、28、30,4、5、6、7、8、9、11、12、13、15、16、18、19、20、21、23、25、26、30、31、32、33、34、35、36、37、38、39、40、41,34,33,聚类、灰色关联、回归、VAR、灰色预测,摘要 -> 结果分析 -> 灵敏度分析 -> 问题重述 -> 模型建立 -> 符号说明 -> 问题分析 -> 参考文献 -> 附录,9,1,2,3,,3,2,,1,,1,,,29,30
