unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-39e075ee6a84,F00001,一等奖论文A053学习分析 / 五个分问的思路怎样连起来,1,283,297,15,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-39e075ee6a84,43f4569b022e563d31dcace7c3d1fd3211941090cadc8dabb212ae05307f066e,U-67bd7c53383e,U-a4499fc9bfbc,295,10,PENDING,1642c6c297cccd31169ef2a71cbc3c105e3b94c458e3aff5f80b72e35053f82a,,,NOT_RUN,NOT_RUN,
U-a4499fc9bfbc,F00001,一等奖论文A053学习分析 / 最值得模仿的段落组织,1,298,299,2,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-a4499fc9bfbc,55a404c73a68ea1e3d814a216eb28939bf8d750c9511a17c1603b4cc4c0e08ec,U-39e075ee6a84,U-49a4f84db22d,0,1,SKIPPED_PROTECTED,db0f357f34fc00d35a37e2f5e9bd96696831be9a758b198e84ada83e3981fafc,,,NOT_RUN,NOT_RUN,
U-49a4f84db22d,F00001,一等奖论文A053学习分析 / 最值得模仿的段落组织 / 从局部关系写到全局运动。,1,300,304,5,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-49a4f84db22d,97748dbf9851e727c5d99afef8df888355f9fe204156f2f4dd53f0908a91efdf,U-a4499fc9bfbc,U-a4b15861068f,87,2,PENDING,8169f2768a0ec3927335a77dd0ea54855c7ec2ff699c3b9c07ba08e28e98070d,,,NOT_RUN,NOT_RUN,
U-a4b15861068f,F00001,一等奖论文A053学习分析 / 最值得模仿的段落组织 / 先证明检查范围不会漏，再缩小程序。,1,305,309,5,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-a4b15861068f,3caa140707c777d6b57118acd0359699cf3c50434859c081342f58aa4e96c59f,U-49a4f84db22d,U-351e32fb5a23,101,3,PENDING,f525355bcedc66e3f6a618aeebab4aa27d82084a794df86cbed08cc00cd748c6,,,NOT_RUN,NOT_RUN,
U-351e32fb5a23,F00001,一等奖论文A053学习分析 / 最值得模仿的段落组织 / 用反例裁决简化方案。,1,310,314,5,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-351e32fb5a23,6cb23c0ab87c2b01f9d76bcaf8ab5c1a2988ab4a38b2189836de0e5ff78aef17,U-a4b15861068f,U-3852cd5e8be9,72,3,PENDING,90d5969948f806bbbab37515f1ea0a32a76b163287b4bfbaa4130ed06d9e21fa,,,NOT_RUN,NOT_RUN,
U-3852cd5e8be9,F00001,一等奖论文A053学习分析 / 最值得模仿的段落组织 / 异常结果回到局部轨迹。,1,315,319,5,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-3852cd5e8be9,2211ce91dc41e7e8b78e32f9437724ddb27833d60f0c5e20cb9c7a12a37015dc,U-351e32fb5a23,U-7e4d16fdaa9b,98,1,PENDING,068aea6b02ec56dacbbc18f81cafdfa73d35570edd678974c03bafd11bd4e693,,,NOT_RUN,NOT_RUN,
U-7e4d16fdaa9b,F00001,一等奖论文A053学习分析 / 本队形成的写作认识,1,320,326,7,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-7e4d16fdaa9b,137e5dbafb69729c5df7835333439148c6de458102ed27c68690cf5003f127f2,U-3852cd5e8be9,U-4ea651e0f6c2,140,2,PENDING,c99ccd5d63a473f7946fe015318892bac14fb4fd969b304e3bcf92d2c6358868,,,NOT_RUN,NOT_RUN,
U-4ea651e0f6c2,F00001,本队论文写作模板,1,327,332,6,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-4ea651e0f6c2,c6911c96f253465a5952a8c23e99324ca47ca0e32781477ca90c7c62ab8290b4,U-7e4d16fdaa9b,U-404f050b5eb9,77,2,PENDING,a61caed4dd85c704e2029df3e945eece384959f45cf48053a2aaaf731dd6f2fb,,,NOT_RUN,NOT_RUN,
U-404f050b5eb9,F00001,本队论文写作模板 / 摘要与关键词,1,333,339,7,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-404f050b5eb9,71996ace6c08e61789cd4ae0e8511f0409b54b6a33bba536d28c14499984dfeb,U-4ea651e0f6c2,U-32f63fa253a0,142,12,PENDING,d5ded4e0f76de937db16b50b3fdab21ef998feb809064a8355d5c1263b65efb6,,,NOT_RUN,NOT_RUN,
U-32f63fa253a0,F00001,本队论文写作模板 / 问题重述,1,340,346,7,RESEARCH,RESEARCH,,EXPLICIT,7f4919b7df6aee03bb93b0f9f20cfe5d7a5724e2297e404dcfa0980fe474cebb,5,0,0,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,18887ba292c25e48d8f9fc598e1a33fa721d1fa8795b3d78f9964af0773b39e0,True,REWRITE,BALANCED,NOT_RUN,U-32f63fa253a0,1f033e36c46683e249589ed140b46dcd2e0d78bcd6546a5065c3d56cfd07fd5f,U-404f050b5eb9,U-881f5190709e,100,13,PENDING,acacef343549d79060a4dc199376bf5a6fa5ecc81bfba66559129ecfe99988f4,,,NOT_RUN,NOT_RUN,
